000000NNNNNNNNNNNNNNNNNNNNNNNNNN l.j
000001NNNNNNNNNNNNNNNNNNNNNNNNNN l.jal
000011NNNNNNNNNNNNNNNNNNNNNNNNNN l.bnf
000100NNNNNNNNNNNNNNNNNNNNNNNNNN l.bf
00010101--------KKKKKKKKKKKKKKKK l.nop
000110DDDDD----0KKKKKKKKKKKKKKKK l.movhi
000110DDDDD----10000000000000000 l.macrc
0010000000000000KKKKKKKKKKKKKKKK l.sys
0010000100000000KKKKKKKKKKKKKKKK l.trap
00100010000000000000000000000000 l.msync
00100010100000000000000000000000 l.psync
00100011000000000000000000000000 l.csync
001001-------------------------- l.rfe
001010------------------1100---- lv.cust1
001010------------------1101---- lv.cust2
001010------------------1110---- lv.cust3
001010------------------1111---- lv.cust4
001010DDDDDAAAAABBBBB---00010000 lv.all_eq.b
001010DDDDDAAAAABBBBB---00010001 lv.all_eq.h
001010DDDDDAAAAABBBBB---00010010 lv.all_ge.b
001010DDDDDAAAAABBBBB---00010011 lv.all_ge.h
001010DDDDDAAAAABBBBB---00010100 lv.all_gt.b
001010DDDDDAAAAABBBBB---00010101 lv.all_gt.h
001010DDDDDAAAAABBBBB---00010110 lv.all_le.b
001010DDDDDAAAAABBBBB---00010111 lv.all_le.h
001010DDDDDAAAAABBBBB---00011000 lv.all_lt.b
001010DDDDDAAAAABBBBB---00011001 lv.all_lt.h
001010DDDDDAAAAABBBBB---00011010 lv.all_ne.b
001010DDDDDAAAAABBBBB---00011011 lv.all_ne.h
001010DDDDDAAAAABBBBB---00100000 lv.any_eq.b
001010DDDDDAAAAABBBBB---00100001 lv.any_eq.h
001010DDDDDAAAAABBBBB---00100010 lv.any_ge.b
001010DDDDDAAAAABBBBB---00100011 lv.any_ge.h
001010DDDDDAAAAABBBBB---00100100 lv.any_gt.b
001010DDDDDAAAAABBBBB---00100101 lv.any_gt.h
001010DDDDDAAAAABBBBB---00100110 lv.any_le.b
001010DDDDDAAAAABBBBB---00100111 lv.any_le.h
001010DDDDDAAAAABBBBB---00101000 lv.any_lt.b
001010DDDDDAAAAABBBBB---00101001 lv.any_lt.h
001010DDDDDAAAAABBBBB---00101010 lv.any_ne.b
001010DDDDDAAAAABBBBB---00101011 lv.any_ne.h
001010DDDDDAAAAABBBBB---00110000 lv.add.b
001010DDDDDAAAAABBBBB---00110001 lv.add.h
001010DDDDDAAAAABBBBB---00110010 lv.adds.b
001010DDDDDAAAAABBBBB---00110011 lv.adds.h
001010DDDDDAAAAABBBBB---00110100 lv.addu.b
001010DDDDDAAAAABBBBB---00110101 lv.addu.h
001010DDDDDAAAAABBBBB---00110110 lv.addus.b
001010DDDDDAAAAABBBBB---00110111 lv.addus.h
001010DDDDDAAAAABBBBB---00111000 lv.and
001010DDDDDAAAAABBBBB---00111001 lv.avg.b
001010DDDDDAAAAABBBBB---00111010 lv.avg.h
001010DDDDDAAAAABBBBB---01000000 lv.cmp_eq.b
001010DDDDDAAAAABBBBB---01000001 lv.cmp_eq.h
001010DDDDDAAAAABBBBB---01000010 lv.cmp_ge.b
001010DDDDDAAAAABBBBB---01000011 lv.cmp_ge.h
001010DDDDDAAAAABBBBB---01000100 lv.cmp_gt.b
001010DDDDDAAAAABBBBB---01000101 lv.cmp_gt.h
001010DDDDDAAAAABBBBB---01000110 lv.cmp_le.b
001010DDDDDAAAAABBBBB---01000111 lv.cmp_le.h
001010DDDDDAAAAABBBBB---01001000 lv.cmp_lt.b
001010DDDDDAAAAABBBBB---01001001 lv.cmp_lt.h
001010DDDDDAAAAABBBBB---01001010 lv.cmp_ne.b
001010DDDDDAAAAABBBBB---01001011 lv.cmp_ne.h
001010DDDDDAAAAABBBBB---01010100 lv.madds.h
001010DDDDDAAAAABBBBB---01010101 lv.max.b
001010DDDDDAAAAABBBBB---01010110 lv.max.h
001010DDDDDAAAAABBBBB---01010111 lv.merge.b
001010DDDDDAAAAABBBBB---01011000 lv.merge.h
001010DDDDDAAAAABBBBB---01011001 lv.min.b
001010DDDDDAAAAABBBBB---01011010 lv.min.h
001010DDDDDAAAAABBBBB---01011011 lv.msubs.h
001010DDDDDAAAAABBBBB---01011100 lv.muls.h
001010DDDDDAAAAABBBBB---01011101 lv.nand
001010DDDDDAAAAABBBBB---01011110 lv.nor
001010DDDDDAAAAABBBBB---01011111 lv.or
